id,phrase_id,role,text,kind,start,end,source_start,source_end,alignment_score,status,flags
backing-008-w001,backing-008,backing,What,lyric,43.167816,43.348816,42.785,42.966,0.907,needs_review,text_review
backing-008-w002,backing-008,backing,kind,lyric,43.489816,43.971816,43.107,43.589,0.922,needs_review,text_review
backing-008-w003,backing-008,backing,of,lyric,44.032816,44.092816,43.65,43.71,0.242,needs_review,weak_acoustic_match; text_review
backing-008-w004,backing-008,backing,monster,lyric,44.112816,44.434816,43.73,44.052,0.524,needs_review,weak_acoustic_match; text_review
backing-008-w005,backing-008,backing,would,lyric,44.454816,44.615816,44.072,44.233,0.544,needs_review,weak_acoustic_match; text_review
backing-008-w006,backing-008,backing,you,lyric,44.635816,44.796816,44.253,44.414,0.548,needs_review,weak_acoustic_match; text_review
backing-008-w007,backing-008,backing,like,lyric,44.816816,45.118816,44.434,44.736,0.71,needs_review,text_review
backing-008-w008,backing-008,backing,to,lyric,45.138816,45.259816,44.756,44.877,0.472,needs_review,weak_acoustic_match; text_review
backing-008-w009,backing-008,backing,make,lyric,45.299816,45.540816,44.917,45.158,0.641,needs_review,text_review
backing-008-w010,backing-008,backing,now?,lyric,45.600816,45.802816,45.218,45.42,0.948,needs_review,text_review
backing-009-w001,backing-009,backing,That,lyric,45.905816,46.086816,45.523,45.704,0.904,needs_review,text_review; audible_attack_before_alignment
backing-009-w002,backing-009,backing,last,lyric,46.126816,46.368816,45.744,45.986,0.498,needs_review,weak_acoustic_match; text_review
backing-009-w003,backing-009,backing,one,lyric,46.489816,46.690816,46.107,46.308,0.678,needs_review,text_review
backing-009-w004,backing-009,backing,set,lyric,46.731816,46.952816,46.349,46.57,0.691,needs_review,text_review
backing-009-w005,backing-009,backing,the,lyric,47.033816,47.234816,46.651,46.852,0.893,needs_review,text_review
backing-009-w006,backing-009,backing,town,lyric,47.375816,47.738816,46.993,47.356,0.751,needs_review,text_review
backing-009-w007,backing-009,backing,on,lyric,47.758816,47.798816,47.376,47.416,0.02,needs_review,weak_acoustic_match; text_review; very_short
backing-009-w008,backing-009,backing,fire.,lyric,47.838816,48.221816,47.456,47.839,0.519,needs_review,weak_acoustic_match; text_review
backing-010-w001,backing-010,backing,Now,lyric,48.264816,48.607816,47.882,48.225,0.675,needs_review,text_review; audible_attack_before_alignment
backing-010-w002,backing-010,backing,make,lyric,48.667816,49.291816,48.285,48.909,0.637,needs_review,text_review
backing-010-w003,backing-010,backing,one,lyric,49.391816,49.532816,49.009,49.15,0.809,needs_review,text_review
